Topic,Prompt,Paragraph ID,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10
oil,How does oil form?,4,Plants die.,They are buried in sediment.,Bacteria is buried in the sediment.,Large amounts of sediment gradually pile on top of the original sediment.,Pressure builds up.,Heat increases.,The chemical structure of the buried sediment and plants changes.,The sediment and plants are at least one mile underground.,The buried area is extremely hot.,More chemical changes happen and the buried material becomes oil.
oil,How does oil form?,5,Algae and plankton die.,The dead algae and plankton end up part of sediment on a seafloor.,The sediment breaks down.,The bottom layers of sediment become compacted by pressure.,Higher pressure causes the sediment to heat up.,The heat causes chemical processes.,The material becomes a liquid.,Is known as oil.,Oil moves up through rock.,
volcano,What causs a volcano to erupt?,7,Magma rises from deep in the earth.,The magma goes into volcanos.,The volcanos pressure the magma upwards.,The pressure causes the magma to push through the surface of the volcano.,The lava cools.,The lava forms new rock.,New magma is pressured to the surface of the volcano.,The volcano bursts through the rock the formed after the last eruption.,,
erosion by ocean,What happens during erosion by the ocean?,11,Water from the ocean washes onto beaches in waves.,The waves contain sediment from the ocean.,The water and particles in it hit rocks and sand on the beach.,The wind and current sometimes push the water and particles harder.,Tiny parts of the rocks on the shore come off the larger rocks.,The waves pick up sand and small rocks from the beach.,The waves go back out into the ocean.,The waves carry the new particles with them.,Rocks and the beach look a little different.,
water cycle,What happens during the water cycle?,13,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.",Water vapor condenses into millions of tiny droplets that form clouds.,"Clouds lose these droplets through rain or snow, also caused precipitation.",Precipitation is either absorbed into the ground or runs off into rivers.,Water that was absorbed into the ground is taken up by plants.,Plants lose water from their surfaces as vapor.,The vapor goes back into the atmosphere.,"Water that runs off into rivers flows into ponds, lakes, or oceans.",The water evaporates back into the atmosphere.,
water cycle,What happens during the water cycle?,14,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.",Water vapor forms droplets in clouds.,Water droplets in clouds become rain or snow and fall.,Some water goes into the ground.,Some water flows down streams into rivers and oceans.,,,,,
water cycle,What happens during the water cycle?,15,"Water is on the earth in oceans, other bodies of water, and living creatures.",Water evaporates from the earth.,Water accumulates in the sky.,The water forms clouds in the sky.,Large amounts of water end up in bigger clouds as more water evaporates.,The clouds become heavy from all the water.,The water falls back to earth as rain or snow from the clouds.,,,
sediment,How is sediment transported across the Earth?,20,Sediment settles in a place due to gravity.,The sediment breaks down into small particles.,Wind or water picks up the sediment.,The sediment travels along the same route as the wind or water.,The sediment is deposited at new locations by the wind or water.,The sediment is picked up again by new wind or water.,The sediment travels further.,The sediment is deposited again in a new place.,,
valley,How are valleys formed?,22,A large rocky area is formed.,The rocky area has a higher elevation than the surrounding areas.,Water from precipitation falls in the area.,The water forms a stream.,The stream flows towards lower elevation.,The stream becomes a river.,The river continues to flow along the same path for a long time.,The river erodes the rocky area that it touches.,The eroded area cuts deeply into the rock.,
cavern,How do caverns form?,31,Limestone is located under the soil.,Rain picks up carbon dioxide as it falls to earth.,The rain falls on the soil over the limestone.,The carbon dioxide in the rain washes through the soil.,The carbon dioxide turns into acid.,The acid in the rain gets to the limestone below the soil.,The acid dissolves the limestone.,Acid continues to erode the limestone with more rain over time.,The eroded limestone sometimes forms caves.,
igneous rock,How does igneous rock form?,34,Volcanos contain magma.,The magma is very hot.,The magma rises toward the surface of the volcano.,The magma cools.,The magma starts to harden as it cools.,The magma is sometimes released from the volcano as lava.,The magma or lava becomes a hard rock as it solidifies.,,,
igneous rock,How does igneous rock form?,35,Different kinds of rocks melt into magma.,Magma cools in the crust.,Magma goes to the surface and becomes lava.,Lava cools.,Cooled magma and lava become igneous rock.,,,,,
